Street name,Plot ref,Proprietor name (18th C),Occupier name (18th C),Occupier Occupation (18th C),Ownership (18th C),Notes,Building use (18th C)
Mary le Port Street,6a,,Smith Thomas (1725),Apothecary,Private,"Formerly one tenement, divided into two",Medical
Mary le Port Street,6b,,"Wells, William (1725)",Ironmonger,Private,"Formerly one tenement, divided into two",Metals
Mary le Port Street,7,,"Cottle, John",Victualler,Private,"The Crown, behind tenements 6a and 6b.",Public house
Mary le Port Street,8,,"Hart, William (1725)",Chandler,Private,,Shop
Mary le Port Street,9,,,,Private?,,
Mary le Port Street,10,,,,Private,,
Mary le Port Street,11,,,,Private,,
Mary le Port Street,13,,,,Private,Combined with 14 by 1911.,
Mary le Port Street,14,,,,Private,Combined with 14 by 1911.,
Mary le Port Street,15,Corporation,"Aylward, Thomas (1730)",Ironmonger,Corporation,"Trinity Hospital; demolished 1730 for the building of the Corn Market, later Cheese Market.",Metals
Mary le Port Street,16,Corporation,,,Corporation,"The Swan. Trinity Hospital; demolished 1730 for the building of the Corn Market, later Cheese Market.",
Mary le Port Street,17,"Cox, William (1699)","Hill, Nathaniel (1699)",Skinner,Private,,Leather and animal skins
Mary le Port Street,18,"Coc, Thomas? (1727)","Cox, Thomas (1727)",,Private,The King's Head.,
Mary le Port Street,19,Parish of St Peter,"Harris, Nathaniel",Apothecary,Parish,,Medical
Mary le Port Street,20,,"Harris, Joseph",Soapboiler,Private,,Leather and animal skins
Mary le Port Street,21,Dean and Chapter,"Scandrett, John (1708)",,Cathedral,,
Mary le Port Street,22,"Howse, Samuel (1708)","Cole, John (1708)",Soapboiler,Private,The Olive Tree.,Leather and animal skins
Mary le Port Street,23,,"Friend, John (1708)",,Private,Formerly a stable.,
Mary le Port Street,24,Corporation,"Spencer, William (1733)",,Corporation,"Trinity Hospital. 24 and 25 divided into three tenements, east and west parts held from 1733 by William Spencer, middle part held from 1737 by Elizabeth Edwards, widow.",
Mary le Port Street,25,Corporation,"Edwards, Elizabeth, widow (1737)",,Corporation,"Trinity Hospital. 24 and 25 divided into three tenements, east and west parts held from 1733 by William Spencer, middle part held from 1737 by Elizabeth Edwards, widow.",
Mary le Port Street,26,"Jarrett, John (1786)",,,Private,The Swan. A public house since at least 15th century.,
Mary le Port Street,27,"Jarrett, John (1786)",,,Private,The Swan. A public house since at least 15th century.,
Mary le Port Street,28,"Peach, Samuel (1782)","Warner, Henry (1782)",Basket maker,Private,,Workshop
Mary le Port Street,29,"Edwards, John (1782)","Tozer, Leonard and Company (1782)",Tobacconists,Private,,Shop
Mary le Port Street,30,"Tanner, John (1782)",,Peruke maker,Private,,Clothing
Mary le Port Street,31,Parish of St Maryleport,"Haynes, John (1725)",,Parish,,
Mary le Port Street,32,"Jones, Edward (1766)",,Glazier,Private,,Workshop
Mary le Port Street,33,,,,Private,,
Mary le Port Street,34,,,,Private,,
Mary le Port Street,35,,,,Private,,
Mary le Port Street,36,Dean and Chapter,,,Cathedral,,
Mary le Port Street,37,,,,Private,,
Mary le Port Street,38,,,,,"See Watts and Rahtz, Mary-le-Port, Bristol: excavations, 1962-3, p. 34.",
Mary le Port Street,40,,,,,"See Watts and Rahtz, Mary-le-Port, Bristol: excavations, 1962-3, p. 34.",
Mary le Port Street,41,,,,,"See Watts and Rahtz, Mary-le-Port, Bristol: excavations, 1962-3, p. 34.",
Mary le Port Street,42,,,,,"See Watts and Rahtz, Mary-le-Port, Bristol: excavations, 1962-3, p. 34.",
Mary le Port Street,43,Dean and Chapter,,,Cathedral,,
Mary le Port Street,44,,,,Private,,
Mary le Port Street,45,,,,Private,,
Mary le Port Street,46,,,,Private,,
Mary le Port Street,47,,,,Private,,
